ARO Accession	CVTERM ID
ARO:3006324	44786
ARO:3006325	44787
ARO:3006326	44788
ARO:3006327	44789
ARO:3006328	44790
ARO:3006329	44791
ARO:3006330	44792
ARO:3006331	44793
ARO:3006332	44794
ARO:3005037	43235
ARO:3003860	40559
ARO:3006333	44795
ARO:3006334	44796
ARO:3006335	44797
ARO:3006336	44798
ARO:3006337	44799
ARO:3006338	44800
ARO:3006339	44801
ARO:3006340	44802
ARO:3006341	44803
ARO:3003861	40560
ARO:3006342	44804
ARO:3006343	44805
ARO:3006344	44806
ARO:3006345	44807
ARO:3006346	44808
ARO:3006347	44809
ARO:3006348	44810
ARO:3006349	44811
ARO:3006350	44812
ARO:3006351	44813
ARO:3003862	40561
ARO:3006352	44814
ARO:3005244	43600
ARO:3005245	43601
ARO:3005246	43602
ARO:3006353	44815
ARO:3006354	44816
ARO:3006355	44817
ARO:3006356	44818
ARO:3006357	44819
ARO:3006358	44820
ARO:3003863	40562
ARO:3006359	44821
ARO:3006360	44822
ARO:3006361	44823
ARO:3006362	44824
ARO:3006363	44825
ARO:3006364	44826
ARO:3006365	44827
ARO:3006366	44828
ARO:3006367	44829
ARO:3006368	44830
ARO:3003848	40545
ARO:3003864	40563
ARO:3006369	44831
ARO:3006370	44832
ARO:3006371	44833
ARO:3006372	44834
ARO:3006373	44835
ARO:3006374	44836
ARO:3006375	44837
ARO:3006376	44838
ARO:3006377	44839
ARO:3006378	44840
ARO:3003865	40564
ARO:3006379	44841
ARO:3006380	44842
ARO:3006381	44843
ARO:3006382	44844
ARO:3006383	44845
ARO:3006384	44846
ARO:3006385	44847
ARO:3006386	44848
ARO:3006387	44849
ARO:3006388	44850
ARO:3003866	40565
ARO:3006389	44851
ARO:3006390	44852
ARO:3006391	44853
ARO:3006392	44854
ARO:3006393	44855
ARO:3006394	44856
ARO:3006395	44857
ARO:3006396	44858
ARO:3006397	44859
ARO:3006398	44860
ARO:3003867	40566
ARO:3006399	44861
ARO:3006400	44862
ARO:3006401	44863
ARO:3006402	44864
ARO:3006403	44865
ARO:3006404	44866
ARO:3006405	44867
ARO:3006406	44868
ARO:3006407	44869
ARO:3006408	44870
ARO:3006409	44871
ARO:3006410	44872
ARO:3006411	44873
ARO:3006412	44874
ARO:3006413	44875
ARO:3006414	44876
ARO:3006415	44877
ARO:3006416	44878
ARO:3006417	44879
ARO:3006418	44880
ARO:3006419	44881
ARO:3003868	40567
ARO:3006420	44882
ARO:3006421	44883
ARO:3006422	44884
ARO:3006423	44885
ARO:3006424	44886
ARO:3006425	44887
ARO:3006426	44888
ARO:3006427	44889
ARO:3003849	40547
ARO:3004617	42587
ARO:3003870	40569
ARO:3006428	44890
ARO:3006429	44891
ARO:3006430	44892
ARO:3003871	40570
ARO:3003850	40548
ARO:3003872	40571
ARO:3003873	40572
ARO:3003874	40573
ARO:3003876	40575
ARO:3003851	40549
ARO:3006431	44893
ARO:3006432	44894
ARO:3006433	44895
ARO:3006434	44896
ARO:3003878	40577
ARO:3006435	44897
ARO:3004618	42588
ARO:3004619	42591
ARO:3003852	40551
ARO:3004620	42592
ARO:3003879	40578
ARO:3004632	42621
ARO:3006436	44898
ARO:3006437	44899
ARO:3006438	44900
ARO:3004633	42622
ARO:3004493	42027
ARO:3003853	40552
ARO:3006439	44901
ARO:3004634	42623
ARO:3003880	40579
ARO:3003881	40580
ARO:3003882	40581
ARO:3003883	40582
ARO:3003884	40583
ARO:3003885	40584
ARO:3003854	40553
ARO:3003886	40585
ARO:3003887	40586
ARO:3003888	40587
ARO:3006440	44902
ARO:3006441	44903
ARO:3006442	44904
ARO:3006443	44905
ARO:3006444	44906
ARO:3006445	44907
ARO:3006446	44908
ARO:3006447	44909
ARO:3006448	44910
ARO:3006449	44911
ARO:3006450	44912
ARO:3006451	44913
ARO:3006452	44914
ARO:3006453	44915
ARO:3006454	44916
ARO:3006455	44917
ARO:3006456	44918
ARO:3000774	37154
ARO:3000775	37155
ARO:3003811	40499
ARO:3000777	37157
ARO:3000778	37158
ARO:3000779	37159
ARO:3000780	37160
ARO:3000781	37161
ARO:3000782	37162
ARO:3000620	36962
ARO:3000559	36698
ARO:3000553	36692
ARO:3000549	36688
ARO:3002481	38881
ARO:3006890	45352
ARO:3006891	45353
ARO:3004451	41662
ARO:3000853	37233
ARO:3006892	45354
ARO:3006893	45355
ARO:3006894	45356
ARO:3006895	45357
ARO:3004452	41663
ARO:3007433	46189
ARO:3007431	46187
ARO:3004364	41538
ARO:3002982	39416
ARO:3002983	39417
ARO:3007694	46481
ARO:3006896	45358
ARO:3000230	36369
ARO:3005062	43266
ARO:3004089	41195
ARO:3002598	38998
ARO:3004090	41196
ARO:3004091	41197
ARO:3002623	39023
ARO:3003905	40608
ARO:3002624	39024
ARO:3002625	39025
ARO:3002626	39026
ARO:3002629	39029
ARO:3002630	39030
ARO:3007401	46152
ARO:3007515	46284
ARO:3002634	39034
ARO:3004191	41355
ARO:3002669	39069
ARO:3002635	39035
ARO:3002636	39036
ARO:3002637	39037
